modpos_hex,order,row,ms,speed,bpm,note
0x0000,0,0,0.0,6,125,
0x0001,0,1,120.0,5,125,
0x0002,0,2,220.0,5,125,
0x0003,0,3,320.0,5,125,
0x0004,0,4,420.0,5,125,
0x0005,0,5,520.0,5,125,
0x0006,0,6,620.0,5,125,
0x0007,0,7,720.0,5,125,
0x0008,0,8,820.0,5,125,
0x0009,0,9,920.0,5,125,
0x000a,0,10,1020.0,5,125,
0x000b,0,11,1120.0,5,125,
0x000c,0,12,1220.0,5,125,
0x000d,0,13,1320.0,5,125,
0x000e,0,14,1420.0,5,125,
0x000f,0,15,1520.0,5,125,
0x0010,0,16,1620.0,5,125,
0x0011,0,17,1720.0,5,125,
0x0012,0,18,1820.0,5,125,
0x0013,0,19,1920.0,5,125,
0x0014,0,20,2020.0,5,125,
0x0015,0,21,2120.0,5,125,
0x0016,0,22,2220.0,5,125,
0x0017,0,23,2320.0,5,125,
0x0018,0,24,2420.0,5,125,
0x0019,0,25,2520.0,5,125,
0x001a,0,26,2620.0,5,125,
0x001b,0,27,2720.0,5,125,
0x001c,0,28,2820.0,5,125,
0x001d,0,29,2920.0,5,125,
0x001e,0,30,3020.0,5,125,
0x001f,0,31,3120.0,5,125,
0x0020,0,32,3220.0,5,125,
0x0021,0,33,3320.0,5,125,
0x0022,0,34,3420.0,5,125,
0x0023,0,35,3520.0,5,125,
0x0024,0,36,3620.0,5,125,
0x0025,0,37,3720.0,5,125,
0x0026,0,38,3820.0,5,125,
0x0027,0,39,3920.0,5,125,
0x0028,0,40,4020.0,5,125,
0x0029,0,41,4120.0,5,125,
0x002a,0,42,4220.0,5,125,
0x002b,0,43,4320.0,5,125,
0x002c,0,44,4420.0,5,125,
0x002d,0,45,4520.0,5,125,
0x002e,0,46,4620.0,5,125,
0x002f,0,47,4720.0,5,125,
0x0030,0,48,4820.0,5,125,
0x0031,0,49,4920.0,5,125,
0x0032,0,50,5020.0,5,125,
0x0033,0,51,5120.0,5,125,
0x0034,0,52,5220.0,5,125,
0x0035,0,53,5320.0,5,125,
0x0036,0,54,5420.0,5,125,
0x0037,0,55,5520.0,5,125,
0x0038,0,56,5620.0,5,125,
0x0039,0,57,5720.0,5,125,
0x003a,0,58,5820.0,5,125,
0x003b,0,59,5920.0,5,125,
0x003c,0,60,6020.0,5,125,
0x003d,0,61,6120.0,5,125,
0x003e,0,62,6220.0,5,125,
0x003f,0,63,6320.0,5,125,
0x0100,1,0,6420.0,5,125,
0x0101,1,1,6520.0,5,125,
0x0102,1,2,6620.0,5,125,
0x0103,1,3,6720.0,5,125,
0x0104,1,4,6820.0,5,125,
0x0105,1,5,6920.0,5,125,
0x0106,1,6,7020.0,5,125,
0x0107,1,7,7120.0,5,125,
0x0108,1,8,7220.0,5,125,
0x0109,1,9,7320.0,5,125,
0x010a,1,10,7420.0,5,125,
0x010b,1,11,7520.0,5,125,
0x010c,1,12,7620.0,5,125,
0x010d,1,13,7720.0,5,125,
0x010e,1,14,7820.0,5,125,
0x010f,1,15,7920.0,5,125,
0x0110,1,16,8020.0,5,125,
0x0111,1,17,8120.0,5,125,
0x0112,1,18,8220.0,5,125,
0x0113,1,19,8320.0,5,125,
0x0114,1,20,8420.0,5,125,
0x0115,1,21,8520.0,5,125,
0x0116,1,22,8620.0,5,125,
